participant_id,legal_name,business_type,scale_class,operating_profile,series_code,compliance_period,pre_adjustment_quota,quota_adjustment,allocated_quota,verified_emission,acknowledged_purchases,acknowledged_sales,eligible_banked_units,eligible_offset_applied,eligible_holding,buying_capacity,source_status,data_origin,source_reference
SYN-COAL-S-A,Sintetis Pembangkit Batu Bara SMALL A,PEMBANGKIT_BATU_BARA,SMALL,Efisiensi Tinggi,PTBAE-IND,2024,462000,-1000,461000,457000,0,0,0,0,461000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-COAL-S-A
SYN-COAL-S-A,Sintetis Pembangkit Batu Bara SMALL A,PEMBANGKIT_BATU_BARA,SMALL,Efisiensi Tinggi,PTBAE-IND,2025,458000,0,458000,460000,0,0,2000,0,460000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-COAL-S-A
SYN-COAL-S-A,Sintetis Pembangkit Batu Bara SMALL A,PEMBANGKIT_BATU_BARA,SMALL,Efisiensi Tinggi,PTBAE-IND,2026,452000,1000,453000,461000,0,0,0,2000,455000,5000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-COAL-S-A
SYN-COAL-S-B,Sintetis Pembangkit Batu Bara SMALL B,PEMBANGKIT_BATU_BARA,SMALL,Beban Tinggi,PTBAE-IND,2024,474000,0,474000,504000,0,0,0,2000,476000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-COAL-S-B
SYN-COAL-S-B,Sintetis Pembangkit Batu Bara SMALL B,PEMBANGKIT_BATU_BARA,SMALL,Beban Tinggi,PTBAE-IND,2025,469000,1000,470000,507000,0,0,0,2000,472000,5000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-COAL-S-B
SYN-COAL-S-B,Sintetis Pembangkit Batu Bara SMALL B,PEMBANGKIT_BATU_BARA,SMALL,Beban Tinggi,PTBAE-IND,2026,463000,2000,465000,508000,0,0,0,2000,467000,5125000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-COAL-S-B
SYN-COAL-M-A,Sintetis Pembangkit Batu Bara MEDIUM A,PEMBANGKIT_BATU_BARA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2024,1409000,1000,1410000,1395000,0,0,0,0,1410000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-COAL-M-A
SYN-COAL-M-A,Sintetis Pembangkit Batu Bara MEDIUM A,PEMBANGKIT_BATU_BARA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2025,1398000,2000,1400000,1405000,0,0,9000,0,1409000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2025-SYN-COAL-M-A
SYN-COAL-M-A,Sintetis Pembangkit Batu Bara MEDIUM A,PEMBANGKIT_BATU_BARA,MEDIUM,Efisiensi Tinggi,PTBAE-IND,2026,1378000,-2000,1376000,1407000,0,0,2000,6000,1384000,25000000000,PROVISIONAL,SYNTHETIC,SYNTHETIC-V1-2026-SYN-COAL-M-A
SYN-COAL-M-B,Sintetis Pembangkit Batu Bara MEDIUM B,PEMBANGKIT_BATU_BARA,MEDIUM,Beban Tinggi,PTBAE-IND,2024,1560000,2000,1562000,1660000,0,0,0,7000,1569000,25000000000,VERIFIED,SYNTHETIC,SYNTHETIC-V1-2024-SYN-COAL-M-B
