participant_id,compliance_period,gross_position,net_position,position_status,max_sell_quantity,buy_need_remaining
SYN-COAL-S-A,2024,4000,4000,SURPLUS,4000,0
SYN-COAL-S-A,2025,-2000,0,BALANCED,0,0
SYN-COAL-S-A,2026,-8000,-6000,DEFICIT,0,6000
SYN-COAL-S-B,2024,-30000,-28000,DEFICIT,0,28000
SYN-COAL-S-B,2025,-37000,-35000,DEFICIT,0,35000
SYN-COAL-S-B,2026,-43000,-41000,DEFICIT,0,41000
SYN-COAL-M-A,2024,15000,15000,SURPLUS,15000,0
SYN-COAL-M-A,2025,-5000,4000,SURPLUS,4000,0
SYN-COAL-M-A,2026,-31000,-23000,DEFICIT,0,23000
SYN-COAL-M-B,2024,-98000,-91000,DEFICIT,0,91000
SYN-COAL-M-B,2025,-126000,-119000,DEFICIT,0,119000
SYN-COAL-M-B,2026,-149000,-142000,DEFICIT,0,142000
SYN-COAL-L-A,2024,39000,39000,SURPLUS,39000,0
SYN-COAL-L-A,2025,-22000,1000,SURPLUS,1000,0
SYN-COAL-L-A,2026,-84000,-66000,DEFICIT,0,66000
SYN-COAL-L-B,2024,-286000,-267000,DEFICIT,0,267000
SYN-COAL-L-B,2025,-355000,-336000,DEFICIT,0,336000
SYN-COAL-L-B,2026,-422000,-403000,DEFICIT,0,403000
SYN-GAS-S-A,2024,18000,18000,SURPLUS,18000,0
SYN-GAS-S-A,2025,15000,26000,SURPLUS,26000,0
SYN-GAS-S-A,2026,12000,25000,SURPLUS,25000,0
SYN-GAS-S-B,2024,-2000,-1000,DEFICIT,0,1000
SYN-GAS-S-B,2025,-6000,-4000,DEFICIT,0,4000
SYN-GAS-S-B,2026,-14000,-12000,DEFICIT,0,12000
SYN-GAS-M-A,2024,60000,60000,SURPLUS,60000,0
SYN-GAS-M-A,2025,44000,80000,SURPLUS,80000,0
SYN-GAS-M-A,2026,32000,72000,SURPLUS,72000,0
SYN-GAS-M-B,2024,-11000,-7000,DEFICIT,0,7000
SYN-GAS-M-B,2025,-25000,-19000,DEFICIT,0,19000
SYN-GAS-M-B,2026,-39000,-33000,DEFICIT,0,33000
SYN-GAS-L-A,2024,160000,160000,SURPLUS,160000,0
SYN-GAS-L-A,2025,128000,224000,SURPLUS,224000,0
SYN-GAS-L-A,2026,93000,205000,SURPLUS,205000,0
SYN-GAS-L-B,2024,-27000,-18000,DEFICIT,0,18000
SYN-GAS-L-B,2025,-67000,-51000,DEFICIT,0,51000
SYN-GAS-L-B,2026,-110000,-93000,DEFICIT,0,93000
SYN-CEM-S-A,2024,9000,9000,SURPLUS,9000,0
SYN-CEM-S-A,2025,7000,12000,SURPLUS,12000,0
SYN-CEM-S-A,2026,0,6000,SURPLUS,6000,0
SYN-CEM-S-B,2024,-9000,-7000,DEFICIT,0,7000
SYN-CEM-S-B,2025,-17000,-15000,DEFICIT,0,15000
SYN-CEM-S-B,2026,-19000,-17000,DEFICIT,0,17000
SYN-CEM-M-A,2024,24000,24000,SURPLUS,24000,0
SYN-CEM-M-A,2025,15000,29000,SURPLUS,29000,0
SYN-CEM-M-A,2026,6000,21000,SURPLUS,21000,0
SYN-CEM-M-B,2024,-38000,-32000,DEFICIT,0,32000
SYN-CEM-M-B,2025,-48000,-42000,DEFICIT,0,42000
SYN-CEM-M-B,2026,-58000,-52000,DEFICIT,0,52000
SYN-CEM-L-A,2024,74000,74000,SURPLUS,74000,0
SYN-CEM-L-A,2025,47000,91000,SURPLUS,91000,0
SYN-CEM-L-A,2026,19000,65000,SURPLUS,65000,0
SYN-CEM-L-B,2024,-99000,-83000,DEFICIT,0,83000
SYN-CEM-L-B,2025,-129000,-113000,DEFICIT,0,113000
SYN-CEM-L-B,2026,-163000,-147000,DEFICIT,0,147000
SYN-STL-S-A,2024,7000,7000,SURPLUS,7000,0
SYN-STL-S-A,2025,0,4000,SURPLUS,4000,0
SYN-STL-S-A,2026,-1000,1000,SURPLUS,1000,0
SYN-STL-S-B,2024,-14000,-12000,DEFICIT,0,12000
SYN-STL-S-B,2025,-15000,-13000,DEFICIT,0,13000
SYN-STL-S-B,2026,-17000,-15000,DEFICIT,0,15000
SYN-STL-M-A,2024,15000,15000,SURPLUS,15000,0
SYN-STL-M-A,2025,7000,16000,SURPLUS,16000,0
SYN-STL-M-A,2026,1000,9000,SURPLUS,9000,0
SYN-STL-M-B,2024,-41000,-35000,DEFICIT,0,35000
SYN-STL-M-B,2025,-47000,-41000,DEFICIT,0,41000
SYN-STL-M-B,2026,-55000,-49000,DEFICIT,0,49000
SYN-STL-L-A,2024,45000,45000,SURPLUS,45000,0
SYN-STL-L-A,2025,23000,50000,SURPLUS,50000,0
